edge_id,i,j,conductance
730,12,53,1.15362468086e-11
731,12,54,1.87151589319e-10
732,12,55,3.03093626233e-10
733,12,56,3.09941269559e-10
734,12,57,3.10552532702e-10
735,12,58,3.11684196158e-10
736,12,59,3.02190941579e-10
737,12,60,3.04971935845e-10
738,12,61,3.16977683853e-10
739,12,62,3.23115963367e-10
740,12,63,3.08631480214e-10
741,13,14,5.89550843557e-10
742,13,15,1.39547266692e-11
743,13,16,1.40383321625e-11
744,13,17,7.8282142915e-11
745,13,18,1.37924095955e-10
746,13,19,8.68513528494e-12
747,13,20,1.5420609185e-11
748,13,21,3.29558759077e-10
749,13,22,4.32359538212e-10
750,13,23,1.06296203041e-11
751,13,24,9.1955405508e-12
752,13,25,1.04354447095e-10
753,13,26,1.65543816249e-10
754,13,27,1.42654282708e-10
755,13,28,3.70769680381e-10
756,13,29,5.1221864697e-10
757,13,30,4.60666707611e-11
758,13,31,1.67620673304e-11
759,13,32,8.8401410705e-12
760,13,33,1.90329985776e-10
761,13,34,2.99013557108e-10
762,13,35,9.44833329853e-11
763,13,36,6.75969281518e-11
764,13,37,2.11500596456e-10
765,13,38,2.17534518417e-10
766,13,39,1.40025039451e-11
767,13,40,1.4244289156e-11
768,13,41,1.95186708356e-10
769,13,42,1.98313095264e-10
770,13,43,4.50463688686e-11
771,13,44,6.1355424249e-11
772,13,45,2.20191036999e-10
773,13,46,1.18869097967e-10
774,13,47,1.40551303668e-11
775,13,48,1.34252931469e-12
776,13,49,1.42832031484e-13
777,13,50,9.51424100961e-11
778,13,51,5.2552702659e-10
779,13,52,5.60940940357e-10
780,13,53,2.02192093732e-10
781,13,54,2.38170452833e-11
782,13,55,8.48607135189e-17
783,13,56,1.40022176414e-11
784,13,57,1.41786258696e-11
785,13,58,9.62080813396e-12
786,13,59,1.43060426574e-11
787,13,60,1.42590341143e-11
788,13,61,1.40664512274e-11
789,13,62,2.13152429003e-10
790,13,63,1.59620063582e-11
791,14,15,3.3465600818e-11
792,14,16,3.4088515631e-11
793,14,17,9.33915072982e-11
794,14,18,4.44634739316e-11
795,14,19,6.87917958794e-12
796,14,20,1.19464125e-12
797,14,21,1.98935605707e-10
798,14,22,4.97692340832e-10
799,14,23,3.50594796395e-11
800,14,24,3.98691803527e-11
801,14,25,4.97220530383e-11
802,14,26,1.77485509435e-10
803,14,27,1.79155432348e-10
804,14,28,2.31097451416e-10
805,14,29,4.61533009071e-10
806,14,30,4.29182096341e-11
807,14,31,3.29187677301e-11
808,14,32,5.97993335447e-11
809,14,33,6.78461097317e-11
810,14,34,1.07921608463e-10
811,14,35,2.14601706543e-11
812,14,36,1.4238412767e-11
813,14,37,9.37482833524e-11
814,14,38,9.82782931819e-11
815,14,39,3.35025269363e-11
816,14,40,3.28491902968e-11
817,14,41,2.76976059352e-10
818,14,42,2.81574810778e-10
819,14,43,4.09567174739e-11
820,14,44,1.33575884499e-11
821,14,45,9.92656900834e-11
822,14,46,1.55083191848e-10
823,14,47,3.24947376971e-11
